Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
11,2011-12,NBA,26.6,7-Jun,223,990,479050,72218,161225,12693,36395,33465,44472,22512,61001,83513,41533,15200,10086,28860,38744,190594,0.448,0.349,0.752,91.3,0.487,13.8,27,0.208,104.6
12,2010-11,NBA,26.6,7-Jun,223,1230,595050,91624,199790,15886,44313,45760,59937,26844,74972,101816,52887,18023,11966,35065,50953,244894,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3
13,2009-10,NBA,26.6,7-Jun,222,1230,594500,92730,200989,15822,44622,45818,60377,26955,75685,102640,52258,17759,11947,34982,51309,247100,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6
14,2008-09,NBA,26.6,7-Jun,221,1230,594650,91310,199054,16352,44583,46907,60859,27157,74429,101586,51605,17883,11817,34519,51765,245879,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3
15,2007-08,NBA,26.8,7-Jun,220,1230,594100,91669,200501,16124,44544,46349,61363,27551,75720,103271,53506,17897,11651,34719,51709,245811,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
16,2006-07,NBA,26.6,7-Jun,219,1230,595750,89860,196073,14926,41672,48253,64149,27360,73634,100994,52365,17807,11329,37232,54666,242899,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
17,2005-06,NBA,26.5,7-Jun,220,1230,595550,88166,194315,14086,39313,48223,64700,27491,73263,100754,50711,17632,11560,35459,55986,238641,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
18,2004-05,NBA,26.9,7-Jun,220,1230,595000,88435,197626,13777,38748,48462,64095,29544,73426,102970,52342,18489,11963,35677,55671,239109,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
19,2003-04,NBA,27,7-Jun,220,1189,574770,83254,189802,12321,35492,43268,57564,28753,71608,100361,50658,18864,12022,35610,51006,222097,0.439,0.347,0.752,90.1,0.471,14.2,28.6,0.228,102.9
20,2002-03,NBA,27.2,7-Jun,219,1189,575420,84937,192109,12200,34912,44028,58103,28654,71950,100604,51133,18884,11928,35471,51730,226102,0.442,0.349,0.758,91,0.474,14,28.5,0.229,103.6
